iter	Logloss
0	0.6449531401
1	0.6091829624
2	0.5766166802
3	0.5518690445
4	0.5349577621
5	0.5140881584
6	0.5034662882
7	0.4904739895
8	0.4816877787
9	0.4744997102
10	0.4664499846
11	0.4598573441
12	0.4547197554
13	0.4491070969
14	0.4433823307
15	0.4398214229
16	0.4357920417
17	0.4323701105
18	0.4300949591
19	0.4266557359
20	0.4231226265
21	0.4197082971
22	0.4172329954
23	0.4151270119
24	0.4127209814
25	0.4110036903
26	0.4086246937
27	0.4067910656
28	0.404454313
29	0.402544644
30	0.4007319605
31	0.3988310803
32	0.3965921196
33	0.3952808968
34	0.3943092815
35	0.3930180634
36	0.391590404
37	0.3903203809
38	0.3886992481
39	0.3877821927
40	0.385762238
41	0.3842371943
42	0.3834173578
43	0.3822944362
44	0.3806859509
45	0.3792574856
46	0.3783522025
47	0.3775370977
48	0.376510296
49	0.3755126343
50	0.3738184289
51	0.37297947
52	0.3721376896
53	0.3715379011
54	0.3705770852
55	0.3698777111
56	0.3690277973
57	0.3685323308
58	0.3679369315
59	0.366823649
60	0.3657141414
61	0.3651222786
62	0.3629201015
63	0.3624283541
64	0.3620359767
65	0.3613426012
66	0.3605638048
67	0.3596711831
68	0.3586548826
69	0.3581093085
70	0.3577571467
71	0.3570381207
72	0.3555448448
73	0.3545839477
74	0.353762077
75	0.3523530964
76	0.3513606504
77	0.3509112223
78	0.3501424867
79	0.3495614024
80	0.3489906325
81	0.3483568153
82	0.3475949621
83	0.3471040332
84	0.3465327008
85	0.3454623214
86	0.344662829
87	0.3441163067
88	0.3437685601
89	0.3430894465
90	0.3422494735
91	0.3418158284
92	0.3412340511
93	0.3397894869
94	0.3390897502
95	0.338587244
96	0.3381500091
97	0.3373558181
98	0.3363944367
99	0.335933122
