iter	Passed	Remaining
0	1	124
1	2	120
2	3	119
3	5	124
4	6	125
5	7	123
6	10	135
7	11	132
8	12	128
9	13	125
10	15	122
11	16	121
12	17	119
13	19	116
14	20	114
15	21	112
16	22	110
17	23	108
18	25	107
19	26	105
20	27	103
21	28	101
22	29	100
23	31	98
24	32	96
25	33	96
26	35	95
27	36	94
28	37	92
29	39	91
30	40	90
31	41	89
32	43	87
33	44	86
34	46	85
35	47	84
36	48	82
37	49	81
38	51	80
39	52	78
40	53	77
41	55	76
42	56	74
43	57	73
44	58	71
45	60	70
46	61	69
47	62	67
48	63	66
49	65	65
50	66	63
51	67	62
52	69	61
53	70	60
54	71	58
55	73	57
56	74	56
57	76	55
58	77	54
59	79	52
60	80	51
61	82	50
62	84	49
63	85	48
64	86	46
65	88	45
66	89	44
67	90	42
68	91	41
69	93	39
70	94	38
71	95	37
72	96	35
73	98	34
74	99	33
75	100	31
76	102	30
77	103	29
78	104	27
79	105	26
80	107	25
81	108	23
82	109	22
83	110	21
84	112	19
85	113	18
86	115	17
87	116	15
88	117	14
89	118	13
90	120	11
91	121	10
92	122	9
93	123	7
94	125	6
95	126	5
96	127	3
97	128	2
98	130	1
99	131	0
