PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,exp_tol,No_spending,Group,Group_size,Solo,Cabin_deck,Cabin_number,Cabin_side,Cabin_region1,Cabin_region2,Cabin_region3,Cabin_region4,Cabin_region5,Cabin_region6,Cabin_region7,Family_Size,Expenditure
0001_01,Europa,True,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,B,0.0,P,1,0,0,0,0,0,0,4,0.0
0002_01,Earth,True,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,736.0,0,2,1,1,F,0.0,S,1,0,0,0,0,0,0,4,736.0
0003_01,Europa,True,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,10383.0,0,3,2,0,A,0.0,S,1,0,0,0,0,0,0,7,10383.0
0003_02,Europa,True,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,5176.0,0,3,2,0,A,0.0,S,1,0,0,0,0,0,0,7,5176.0
0004_01,Earth,True,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,1091.0,0,4,1,1,F,1.0,S,1,0,0,0,0,0,0,9,1091.0
0005_01,Earth,True,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,774.0,0,5,1,1,F,0.0,P,1,0,0,0,0,0,0,10,774.0
0006_01,Earth,True,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,1584.0,0,6,2,0,F,2.0,S,1,0,0,0,0,0,0,9,1584.0
0006_02,Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,6,2,0,G,0.0,S,1,0,0,0,0,0,0,9,0.0
0007_01,Earth,True,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,1018.0,0,7,1,1,F,3.0,S,1,0,0,0,0,0,0,5,1018.0
0008_01,Europa,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,8,3,0,B,1.0,P,1,0,0,0,0,0,0,3,0.0
0008_02,Europa,True,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,8,3,0,B,1.0,P,1,0,0,0,0,0,0,3,0.0
0008_03,Europa,True,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,8157.0,0,8,3,0,B,1.0,P,1,0,0,0,0,0,0,3,8157.0
0009_01,Mars,True,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,1309.0,0,9,1,1,F,1.0,P,1,0,0,0,0,0,0,4,1309.0
0010_01,Earth,True,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,809.0,0,10,1,1,G,1.0,S,1,0,0,0,0,0,0,6,809.0
0011_01,Earth,True,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,1003.0,0,11,1,1,F,2.0,P,1,0,0,0,0,0,0,9,1003.0
0012_01,Earth,True,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,908.0,0,12,1,1,G,-2.0,S,0,0,0,0,0,0,0,12,908.0
0014_01,Mars,True,55 Cancri e,27.0,False,1286.0,122.0,42.0,0.0,0.0,1408.0,0,14,1,1,F,3.0,P,1,0,0,0,0,0,0,2,1450.0
0015_01,Earth,True,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,638.0,0,15,1,1,F,4.0,P,1,0,0,0,0,0,0,9,638.0
0016_01,Mars,True,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,16,1,1,F,5.0,P,1,0,0,0,0,0,0,7,0.0
0017_01,Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,17,2,0,G,0.0,P,1,0,0,0,0,0,0,8,0.0
0017_02,Earth,True,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,1092.0,0,17,2,0,F,6.0,P,1,0,0,0,0,0,0,8,1092.0
0020_01,Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1,20,6,0,E,0.0,S,1,0,0,0,0,0,0,8,0.0
